STATE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AK,"48,706.76","50,920.35","52,278.05","54,395.32","58,519.66","65,679.13","68,867.58","73,823.62","74,606.28","69,473.78","66,217.06","62,922.15"
AL,,157.33,459.88,547.69,"1,810.06","6,453.45","11,747.74","13,749.96","11,465.23","11,846.23","8,771.22","9,873.67"
AR,892.27,882.83,"1,081.95","1,318.17","1,144.17",125.94,"1,078.21","2,787.48","6,965.83","9,058.30","4,824.97","1,623.57"
AZ,"16,159.29","18,635.98","18,303.18","24,410.52","32,848.92","44,792.72","59,074.04","80,214.06","74,997.94","71,863.70","70,469.77","71,892.05"
CA,"2,031,592.76","2,005,517.01","2,070,667.22","2,198,550.10","2,166,028.35","2,272,768.96","2,388,676.84","2,330,092.84","2,220,498.84","2,165,833.96","2,178,070.92","2,054,263.98"
CO,"2,203,524.91","2,564,428.26","2,285,814.82","2,279,812.02","2,277,201.65","2,290,799.82","2,177,094.68","2,207,491.04","2,083,226.02","1,898,362.52","1,560,670.89","1,598,523.94"
CT,"3,347.21","3,851.71","5,471.25","6,823.23","8,033.77","6,849.69","20,486.04","33,903.03","38,194.71","47,595.20","93,599.78","50,128.49"
DC,,,,,"1,366.16","4,257.53","5,934.43","8,335.80","8,925.18","9,664.33","9,813.66","8,975.52"
DE,"19,561.75","25,709.65","37,560.36","48,117.54","57,886.92","65,524.44","75,629.27","82,037.96","83,489.86","78,225.11","74,403.02","68,113.87"
FL,"1,168,248.81","1,188,745.72","1,297,356.04","1,247,064.73","1,287,687.46","1,289,450.36","1,260,567.42","1,242,022.65","1,245,516.38","1,186,318.43","1,173,282.12","1,211,791.38"
GA,"370,951.41","412,159.15","578,799.07","518,567.58","482,677.65","480,930.15","545,302.04","489,713.84","463,799.45","533,283.65","499,930.03","460,632.48"
HI,"12,167.94","13,159.64","13,292.91","15,488.55","19,606.37","19,391.33","18,107.58","21,582.44","25,424.30","28,641.98","32,067.39","34,821.42"
IA,"1,621.63","2,113.46","2,634.37","3,780.36","6,320.58","8,572.43","13,243.72","21,448.89","15,321.13","7,700.13","12,338.00","9,353.45"
ID,"6,120.91","6,279.71","6,797.91","6,834.92","7,749.54","11,316.83","15,294.81","17,477.57","16,864.87","16,296.75","17,439.22","15,268.86"
IL,"33,285.69","39,678.85","46,856.93","63,152.26","64,148.06","60,573.70","68,420.11","145,486.79","214,051.58","243,183.00","229,367.33","219,382.35"
IN,"8,462.19","11,103.64","14,744.42","23,055.64","36,461.47","48,867.09","61,510.42","66,614.28","66,387.49","68,150.00","63,530.02","56,023.45"
KS,"1,167.72","1,521.34","1,857.82","3,107.42","5,670.63","4,768.33","6,125.65","7,418.78","8,041.30","9,585.41","10,026.43","6,342.37"
KY,"3,259.96","4,568.13","5,312.00","8,190.89","9,276.72","11,795.65","19,416.85","24,748.10","30,952.49","30,049.37","32,458.90","28,653.06"
LA,"25,891.84","28,163.29","34,585.32","43,767.95","53,422.01","56,196.18","62,679.68","69,442.53","72,007.58","61,638.35","53,685.02","48,367.70"
MA,"77,178.19","79,385.94","84,522.98","98,121.54","119,862.81","131,474.98","126,580.10","128,941.15","149,185.25","138,987.97","162,431.53","154,797.70"
MD,"21,163.30","23,321.62","24,036.23","29,123.06","38,254.66","46,213.33","52,907.04","58,176.63","64,705.32","68,486.52","69,714.09","70,807.06"
ME,"38,834.04","42,649.45","47,649.73","58,015.64","77,600.43","97,285.94","110,683.11","116,113.35","117,491.36","120,823.77","116,743.91","97,260.97"
MI,"59,678.65","74,309.35","94,996.80","118,799.27","148,703.06","185,386.44","227,414.70","297,520.14","330,798.01","329,891.64","347,771.21","359,017.74"
MN,"56,176.96","62,497.37","67,335.83","79,534.59","101,033.14","115,956.35","133,102.69","154,949.51","154,250.32","159,728.02","159,497.56","152,641.92"
MO,"1,648,121.55","1,527,439.40","1,382,551.86","1,183,200.36","1,119,507.94","1,019,244.02","942,359.26","891,963.11","881,247.94","913,652.28","840,259.38","763,851.31"
MS,"2,468.14","2,329.33","3,585.07","5,258.34","6,867.94","6,481.96","6,907.14","7,726.08","5,999.23","5,060.32","4,474.17","3,666.89"
MT,"34,436.33","36,944.52","35,824.92","41,261.22","46,957.49","50,865.95","54,321.28","58,998.91","53,876.38","50,679.09","47,842.61","44,290.04"
NC,"905,166.19","834,274.14","766,996.13","903,892.92","1,010,647.87","1,054,976.57","988,300.04","971,829.71","991,004.06","561,127.20","289,428.28","298,636.47"
ND,,,,,,,590.57,"2,601.31","3,456.60","1,867.45","3,219.15",299.88
NE,"3,623.24","3,524.26","4,091.47","5,688.77","7,000.95","7,244.52","3,840.44","13,753.51","10,422.01","14,472.86","13,928.55","11,217.22"
NH,"355,237.90","331,130.43","338,988.75","341,517.58","364,000.89","365,463.83","381,402.55","367,976.50","347,827.51","317,004.98","292,497.80","295,253.52"
NJ,"518,953.23","489,576.07","487,051.21","544,599.19","559,276.11","502,680.99","443,199.05","447,843.58","423,001.17","376,621.44","367,964.45","370,889.34"
NM,"6,123.00","5,965.50","7,739.68","7,838.24","10,594.14","12,803.35","15,093.44","21,957.12","26,192.78","27,804.17","34,733.93","37,733.80"
NV,"14,658.54","14,809.07","13,983.77","14,741.33","7,871.97","4,993.73","5,702.72","8,085.97","5,161.63","8,279.46","10,871.80","12,423.11"
NY,"795,940.87","749,430.78","650,087.06","583,310.58","604,493.47","668,632.48","674,239.50","596,752.77","589,153.27","566,871.56","520,583.59","466,871.00"
OH,"1,684,507.38","1,708,860.22","1,895,495.69","2,033,529.73","1,886,886.80","1,790,342.28","1,726,077.24","1,643,427.98","1,628,062.64","1,457,112.02","1,383,472.57","1,359,048.25"
OK,561.61,939.98,"2,578.47","3,395.64","4,025.32","4,826.95","4,840.77","6,110.00","4,539.32","5,642.57","5,409.25",968.47
OR,"267,558.25","302,197.16","325,659.16","341,505.24","357,821.43","375,659.57","415,935.76","479,575.19","489,128.91","477,381.22","643,288.16","404,151.01"
PA,"594,726.99","772,329.90","953,285.76","998,172.50","1,081,543.30","1,168,462.04","1,172,679.83","1,244,846.05","1,156,462.98","1,035,752.73","946,253.90","905,758.65"
RI,"3,112.50","2,347.00","2,430.00","3,236.99","3,371.00","4,104.34","5,174.14","4,551.43","3,969.48","3,675.99","7,854.41","15,630.68"
SC,"4,950.87","6,193.71","6,192.25","7,558.60","11,769.84","15,831.87","18,103.48","19,762.34","19,492.06","13,380.82","20,748.53","14,709.10"
SD,907,572,559,586,"1,237.88","1,521.50","1,753.50","1,923.75","2,406.63","2,606.53","3,319.71","2,298.83"
TN,"8,598.27","10,155.49","10,982.71","12,988.82","17,597.04","28,387.58","31,767.12","60,753.94","87,084.56","72,261.38","64,760.02","54,131.48"
TX,"1,088,767.77","1,094,276.99","1,131,030.13","1,143,881.77","1,152,638.24","1,144,585.80","1,038,542.78","1,060,536.45","1,037,119.99","1,073,417.23","1,057,055.70","1,069,103.27"
UT,"25,539.65","26,717.11","25,943.15","29,194.74","34,548.18","43,143.32","45,937.83","51,425.32","54,961.49","54,169.39","54,184.15","51,234.23"
VA,"1,519,072.07","1,425,448.78","1,186,492.73","1,152,090.46","1,165,692.37","1,175,467.01","1,134,449.57","1,048,495.09","1,017,740.25","1,253,898.31","1,463,360.40","1,272,328.62"
VT,"66,877.72","70,621.02","86,533.33","105,473.36","91,368.48","98,154.92","98,852.28","93,531.96","89,387.18","68,330.18","64,791.32","66,620.54"
WA,"175,030.00","165,425.08","155,111.48","195,436.87","218,671.75","240,103.86","274,558.65","297,547.82","291,509.70","251,896.07","222,188.23","222,168.19"
WI,"1,129,963.27","1,039,757.77","1,191,461.86","1,130,525.73","981,225.81","1,038,914.37","1,071,651.35","1,066,520.15","937,817.99","1,010,565.53","1,093,376.11","1,047,608.30"
WV,853.65,"1,655.04","1,725.47","2,582.42","3,264.98","3,701.81","4,525.59","5,160.63","6,640.44","3,835.30","3,564.32","3,278.68"
WY,"2,749.59","2,989.71","2,489.98","3,852.33","5,055.71","5,752.17","7,216.88","8,379.14","9,671.70","8,328.08","8,312.15","16,731.39"
,,,,,,,,,,,,
,,,,,,,,,,,,
