State,year,number_breweries
AK,1984,NA
AL,1984,NA
AR,1984,NA
AZ,1984,NA
CA,1984,9
CO,1984,NA
CT,1984,NA
DC,1984,NA
DE,1984,NA
FL,1984,NA
GA,1984,NA
HI,1984,NA
IA,1984,NA
ID,1984,NA
IL,1984,NA
IN,1984,NA
KS,1984,NA
KY,1984,NA
LA,1984,NA
MA,1984,NA
MD,1984,NA
ME,1984,NA
MI,1984,NA
MN,1984,NA
MO,1984,NA
MS,1984,NA
MT,1984,NA
NC,1984,NA
ND,1984,NA
NE,1984,NA
NH,1984,NA
NJ,1984,NA
NM,1984,NA
NV,1984,NA
NY,1984,NA
OH,1984,NA
OK,1984,NA
OR,1984,NA
PA,1984,4
RI,1984,NA
SC,1984,NA
SD,1984,NA
TN,1984,NA
TX,1984,4
UT,1984,NA
VA,1984,NA
VT,1984,NA
WA,1984,4
WI,1984,5
WV,1984,NA
WY,1984,NA
Other,1984,16
Total,1984,42
AK,1985,NA
AL,1985,NA
AR,1985,NA
AZ,1985,NA
CA,1985,12
CO,1985,NA
CT,1985,NA
DC,1985,NA
DE,1985,NA
FL,1985,NA
GA,1985,NA
HI,1985,NA
IA,1985,NA
ID,1985,NA
IL,1985,NA
IN,1985,NA
KS,1985,NA
KY,1985,NA
LA,1985,NA
MA,1985,NA
MD,1985,NA
ME,1985,NA
MI,1985,NA
MN,1985,NA
MO,1985,NA
MS,1985,NA
MT,1985,NA
NC,1985,NA
ND,1985,NA
NE,1985,NA
NH,1985,NA
NJ,1985,NA
NM,1985,NA
NV,1985,NA
NY,1985,NA
OH,1985,NA
OK,1985,NA
OR,1985,3
PA,1985,4
RI,1985,NA
SC,1985,NA
SD,1985,NA
TN,1985,NA
TX,1985,4
UT,1985,NA
VA,1985,NA
VT,1985,NA
WA,1985,4
WI,1985,6
WV,1985,NA
WY,1985,NA
Other,1985,19
Total,1985,52
AK,1986,NA
AL,1986,NA
AR,1986,NA
AZ,1986,NA
CA,1986,15
CO,1986,NA
CT,1986,NA
DC,1986,NA
DE,1986,NA
FL,1986,NA
GA,1986,NA
HI,1986,NA
IA,1986,NA
ID,1986,NA
IL,1986,NA
IN,1986,NA
KS,1986,NA
KY,1986,NA
LA,1986,NA
MA,1986,NA
MD,1986,NA
ME,1986,NA
MI,1986,NA
MN,1986,3
MO,1986,NA
MS,1986,NA
MT,1986,NA
NC,1986,NA
ND,1986,NA
NE,1986,NA
NH,1986,NA
NJ,1986,NA
NM,1986,NA
NV,1986,NA
NY,1986,3
OH,1986,NA
OK,1986,NA
OR,1986,5
PA,1986,5
RI,1986,NA
SC,1986,NA
SD,1986,NA
TN,1986,NA
TX,1986,4
UT,1986,NA
VA,1986,NA
VT,1986,NA
WA,1986,4
WI,1986,7
WV,1986,NA
WY,1986,NA
Other,1986,22
Total,1986,68
AK,1987,NA
AL,1987,NA
AR,1987,NA
AZ,1987,NA
CA,1987,23
CO,1987,NA
CT,1987,NA
DC,1987,NA
DE,1987,NA
FL,1987,NA
GA,1987,NA
HI,1987,NA
IA,1987,NA
ID,1987,3
IL,1987,NA
IN,1987,NA
KS,1987,NA
KY,1987,NA
LA,1987,NA
MA,1987,3
MD,1987,NA
ME,1987,NA
MI,1987,NA
MN,1987,4
MO,1987,NA
MS,1987,NA
MT,1987,NA
NC,1987,NA
ND,1987,NA
NE,1987,NA
NH,1987,NA
NJ,1987,NA
NM,1987,NA
NV,1987,NA
NY,1987,4
OH,1987,NA
OK,1987,NA
OR,1987,8
PA,1987,6
RI,1987,NA
SC,1987,NA
SD,1987,NA
TN,1987,NA
TX,1987,4
UT,1987,NA
VA,1987,NA
VT,1987,NA
WA,1987,4
WI,1987,10
WV,1987,NA
WY,1987,NA
Other,1987,26
Total,1987,95
AK,1988,NA
AL,1988,NA
AR,1988,NA
AZ,1988,NA
CA,1988,39
CO,1988,3
CT,1988,NA
DC,1988,NA
DE,1988,NA
FL,1988,3
GA,1988,NA
HI,1988,NA
IA,1988,NA
ID,1988,3
IL,1988,4
IN,1988,NA
KS,1988,NA
KY,1988,NA
LA,1988,NA
MA,1988,3
MD,1988,NA
ME,1988,NA
MI,1988,3
MN,1988,5
MO,1988,NA
MS,1988,NA
MT,1988,NA
NC,1988,NA
ND,1988,NA
NE,1988,NA
NH,1988,NA
NJ,1988,NA
NM,1988,NA
NV,1988,NA
NY,1988,5
OH,1988,3
OK,1988,NA
OR,1988,13
PA,1988,6
RI,1988,NA
SC,1988,NA
SD,1988,NA
TN,1988,NA
TX,1988,5
UT,1988,NA
VA,1988,NA
VT,1988,NA
WA,1988,7
WI,1988,12
WV,1988,NA
WY,1988,NA
Other,1988,26
Total,1988,140
AK,1989,NA
AL,1989,NA
AR,1989,NA
AZ,1989,6
CA,1989,50
CO,1989,7
CT,1989,NA
DC,1989,NA
DE,1989,NA
FL,1989,6
GA,1989,NA
HI,1989,NA
IA,1989,NA
ID,1989,3
IL,1989,5
IN,1989,4
KS,1989,NA
KY,1989,NA
LA,1989,NA
MA,1989,5
MD,1989,3
ME,1989,NA
MI,1989,3
MN,1989,7
MO,1989,NA
MS,1989,NA
MT,1989,NA
NC,1989,6
ND,1989,NA
NE,1989,NA
NH,1989,NA
NJ,1989,NA
NM,1989,NA
NV,1989,NA
NY,1989,6
OH,1989,5
OK,1989,NA
OR,1989,15
PA,1989,8
RI,1989,NA
SC,1989,NA
SD,1989,NA
TN,1989,NA
TX,1989,7
UT,1989,NA
VA,1989,NA
VT,1989,3
WA,1989,8
WI,1989,14
WV,1989,NA
WY,1989,NA
Other,1989,26
Total,1989,197
AK,1990,NA
AL,1990,NA
AR,1990,NA
AZ,1990,8
CA,1990,67
CO,1990,11
CT,1990,NA
DC,1990,NA
DE,1990,NA
FL,1990,7
GA,1990,NA
HI,1990,NA
IA,1990,NA
ID,1990,3
IL,1990,6
IN,1990,4
KS,1990,NA
KY,1990,NA
LA,1990,NA
MA,1990,5
MD,1990,3
ME,1990,NA
MI,1990,3
MN,1990,7
MO,1990,NA
MS,1990,NA
MT,1990,3
NC,1990,8
ND,1990,NA
NE,1990,NA
NH,1990,NA
NJ,1990,NA
NM,1990,NA
NV,1990,NA
NY,1990,8
OH,1990,6
OK,1990,NA
OR,1990,21
PA,1990,11
RI,1990,NA
SC,1990,NA
SD,1990,NA
TN,1990,NA
TX,1990,8
UT,1990,NA
VA,1990,4
VT,1990,4
WA,1990,10
WI,1990,17
WV,1990,NA
WY,1990,NA
Other,1990,26
Total,1990,250
AK,1991,3
AL,1991,NA
AR,1991,NA
AZ,1991,8
CA,1991,76
CO,1991,22
CT,1991,NA
DC,1991,NA
DE,1991,NA
FL,1991,13
GA,1991,NA
HI,1991,NA
IA,1991,4
ID,1991,5
IL,1991,9
IN,1991,5
KS,1991,NA
KY,1991,NA
LA,1991,3
MA,1991,6
MD,1991,4
ME,1991,3
MI,1991,3
MN,1991,8
MO,1991,3
MS,1991,NA
MT,1991,5
NC,1991,11
ND,1991,NA
NE,1991,NA
NH,1991,NA
NJ,1991,NA
NM,1991,3
NV,1991,NA
NY,1991,13
OH,1991,9
OK,1991,NA
OR,1991,26
PA,1991,12
RI,1991,NA
SC,1991,NA
SD,1991,NA
TN,1991,NA
TX,1991,7
UT,1991,3
VA,1991,5
VT,1991,6
WA,1991,13
WI,1991,18
WV,1991,NA
WY,1991,NA
Other,1991,15
Total,1991,321
AK,1992,4
AL,1992,NA
AR,1992,NA
AZ,1992,7
CA,1992,93
CO,1992,27
CT,1992,NA
DC,1992,NA
DE,1992,NA
FL,1992,17
GA,1992,NA
HI,1992,NA
IA,1992,5
ID,1992,8
IL,1992,12
IN,1992,6
KS,1992,NA
KY,1992,NA
LA,1992,3
MA,1992,9
MD,1992,5
ME,1992,5
MI,1992,4
MN,1992,8
MO,1992,4
MS,1992,NA
MT,1992,7
NC,1992,12
ND,1992,NA
NE,1992,5
NH,1992,3
NJ,1992,NA
NM,1992,5
NV,1992,NA
NY,1992,16
OH,1992,12
OK,1992,NA
OR,1992,30
PA,1992,12
RI,1992,NA
SC,1992,NA
SD,1992,NA
TN,1992,3
TX,1992,8
UT,1992,4
VA,1992,7
VT,1992,6
WA,1992,15
WI,1992,19
WV,1992,NA
WY,1992,NA
Other,1992,17
Total,1992,398
AK,1993,3
AL,1993,NA
AR,1993,NA
AZ,1993,7
CA,1993,115
CO,1993,38
CT,1993,NA
DC,1993,NA
DE,1993,NA
FL,1993,22
GA,1993,NA
HI,1993,NA
IA,1993,6
ID,1993,10
IL,1993,16
IN,1993,7
KS,1993,5
KY,1993,3
LA,1993,4
MA,1993,9
MD,1993,7
ME,1993,8
MI,1993,6
MN,1993,9
MO,1993,5
MS,1993,NA
MT,1993,10
NC,1993,14
ND,1993,NA
NE,1993,6
NH,1993,4
NJ,1993,NA
NM,1993,8
NV,1993,3
NY,1993,20
OH,1993,15
OK,1993,4
OR,1993,37
PA,1993,12
RI,1993,NA
SC,1993,NA
SD,1993,NA
TN,1993,5
TX,1993,11
UT,1993,4
VA,1993,12
VT,1993,7
WA,1993,21
WI,1993,23
WV,1993,NA
WY,1993,NA
Other,1993,17
Total,1993,513
AK,1994,3
AL,1994,NA
AR,1994,3
AZ,1994,11
CA,1994,127
CO,1994,51
CT,1994,NA
DC,1994,NA
DE,1994,NA
FL,1994,27
GA,1994,3
HI,1994,NA
IA,1994,6
ID,1994,11
IL,1994,22
IN,1994,9
KS,1994,7
KY,1994,3
LA,1994,3
MA,1994,17
MD,1994,10
ME,1994,12
MI,1994,12
MN,1994,13
MO,1994,12
MS,1994,NA
MT,1994,12
NC,1994,20
ND,1994,NA
NE,1994,6
NH,1994,9
NJ,1994,5
NM,1994,10
NV,1994,3
NY,1994,27
OH,1994,20
OK,1994,6
OR,1994,48
PA,1994,15
RI,1994,3
SC,1994,NA
SD,1994,NA
TN,1994,9
TX,1994,27
UT,1994,8
VA,1994,9
VT,1994,10
WA,1994,28
WI,1994,29
WV,1994,3
WY,1994,NA
Other,1994,13
Total,1994,682
AK,1995,5
AL,1995,5
AR,1995,3
AZ,1995,11
CA,1995,167
CO,1995,74
CT,1995,NA
DC,1995,NA
DE,1995,4
FL,1995,36
GA,1995,6
HI,1995,4
IA,1995,6
ID,1995,15
IL,1995,26
IN,1995,10
KS,1995,13
KY,1995,7
LA,1995,4
MA,1995,27
MD,1995,12
ME,1995,21
MI,1995,24
MN,1995,18
MO,1995,13
MS,1995,NA
MT,1995,13
NC,1995,25
ND,1995,3
NE,1995,8
NH,1995,14
NJ,1995,7
NM,1995,12
NV,1995,5
NY,1995,44
OH,1995,28
OK,1995,8
OR,1995,54
PA,1995,27
RI,1995,6
SC,1995,11
SD,1995,NA
TN,1995,13
TX,1995,48
UT,1995,13
VA,1995,12
VT,1995,12
WA,1995,48
WI,1995,35
WV,1995,NA
WY,1995,8
Other,1995,9
Total,1995,974
AK,1996,11
AL,1996,8
AR,1996,3
AZ,1996,17
CA,1996,218
CO,1996,92
CT,1996,12
DC,1996,3
DE,1996,5
FL,1996,62
GA,1996,18
HI,1996,6
IA,1996,9
ID,1996,24
IL,1996,35
IN,1996,21
KS,1996,14
KY,1996,11
LA,1996,8
MA,1996,42
MD,1996,22
ME,1996,27
MI,1996,36
MN,1996,26
MO,1996,14
MS,1996,NA
MT,1996,16
NC,1996,36
ND,1996,3
NE,1996,8
NH,1996,18
NJ,1996,20
NM,1996,20
NV,1996,10
NY,1996,70
OH,1996,40
OK,1996,9
OR,1996,73
PA,1996,42
RI,1996,5
SC,1996,19
SD,1996,5
TN,1996,15
TX,1996,63
UT,1996,15
VA,1996,17
VT,1996,20
WA,1996,79
WI,1996,50
WV,1996,4
WY,1996,10
Other,1996,NA
Total,1996,NA
AK,1997,16
AL,1997,8
AR,1997,4
AZ,1997,34
CA,1997,259
CO,1997,112
CT,1997,22
DC,1997,5
DE,1997,6
FL,1997,86
GA,1997,24
HI,1997,8
IA,1997,12
ID,1997,28
IL,1997,39
IN,1997,26
KS,1997,17
KY,1997,14
LA,1997,11
MA,1997,44
MD,1997,27
ME,1997,28
MI,1997,60
MN,1997,37
MO,1997,22
MS,1997,NA
MT,1997,20
NC,1997,40
ND,1997,4
NE,1997,9
NH,1997,19
NJ,1997,23
NM,1997,26
NV,1997,18
NY,1997,84
OH,1997,55
OK,1997,9
OR,1997,86
PA,1997,56
RI,1997,6
SC,1997,21
SD,1997,5
TN,1997,21
TX,1997,71
UT,1997,17
VA,1997,23
VT,1997,24
WA,1997,109
WI,1997,57
WV,1997,4
WY,1997,14
Other,1997,NA
Total,1997,NA
AK,1998,14
AL,1998,9
AR,1998,5
AZ,1998,40
CA,1998,273
CO,1998,105
CT,1998,25
DC,1998,5
DE,1998,8
FL,1998,96
GA,1998,26
HI,1998,13
IA,1998,13
ID,1998,29
IL,1998,44
IN,1998,25
KS,1998,17
KY,1998,15
LA,1998,14
MA,1998,48
MD,1998,27
ME,1998,33
MI,1998,71
MN,1998,35
MO,1998,26
MS,1998,NA
MT,1998,24
NC,1998,50
ND,1998,6
NE,1998,8
NH,1998,19
NJ,1998,27
NM,1998,27
NV,1998,20
NY,1998,88
OH,1998,68
OK,1998,10
OR,1998,88
PA,1998,63
RI,1998,5
SC,1998,23
SD,1998,5
TN,1998,25
TX,1998,65
UT,1998,17
VA,1998,27
VT,1998,27
WA,1998,115
WI,1998,65
WV,1998,5
WY,1998,15
Other,1998,NA
Total,1998,NA
AK,1999,19
AL,1999,9
AR,1999,4
AZ,1999,48
CA,1999,289
CO,1999,102
CT,1999,26
DC,1999,4
DE,1999,9
FL,1999,97
GA,1999,30
HI,1999,16
IA,1999,14
ID,1999,25
IL,1999,47
IN,1999,24
KS,1999,15
KY,1999,12
LA,1999,11
MA,1999,50
MD,1999,30
ME,1999,37
MI,1999,79
MN,1999,36
MO,1999,30
MS,1999,3
MT,1999,24
NC,1999,52
ND,1999,3
NE,1999,9
NH,1999,19
NJ,1999,28
NM,1999,26
NV,1999,24
NY,1999,81
OH,1999,77
OK,1999,10
OR,1999,88
PA,1999,74
RI,1999,6
SC,1999,22
SD,1999,7
TN,1999,23
TX,1999,66
UT,1999,20
VA,1999,29
VT,1999,24
WA,1999,118
WI,1999,77
WV,1999,5
WY,1999,13
Other,1999,NA
Total,1999,1991
AK,2000,17
AL,2000,7
AR,2000,5
AZ,2000,45
CA,2000,281
CO,2000,102
CT,2000,27
DC,2000,4
DE,2000,8
FL,2000,92
GA,2000,29
HI,2000,15
IA,2000,13
ID,2000,24
IL,2000,45
IN,2000,26
KS,2000,10
KY,2000,15
LA,2000,12
MA,2000,45
MD,2000,25
ME,2000,42
MI,2000,77
MN,2000,41
MO,2000,32
MS,2000,4
MT,2000,25
NC,2000,51
ND,2000,3
NE,2000,9
NH,2000,19
NJ,2000,24
NM,2000,26
NV,2000,22
NY,2000,78
OH,2000,87
OK,2000,9
OR,2000,82
PA,2000,73
RI,2000,8
SC,2000,19
SD,2000,7
TN,2000,23
TX,2000,59
UT,2000,20
VA,2000,31
VT,2000,23
WA,2000,113
WI,2000,91
WV,2000,6
WY,2000,13
Other,2000,NA
Total,2000,1964
AK,2001,17
AL,2001,4
AR,2001,5
AZ,2001,45
CA,2001,266
CO,2001,102
CT,2001,22
DC,2001,5
DE,2001,8
FL,2001,84
GA,2001,30
HI,2001,14
IA,2001,16
ID,2001,20
IL,2001,41
IN,2001,23
KS,2001,8
KY,2001,10
LA,2001,9
MA,2001,46
MD,2001,26
ME,2001,39
MI,2001,71
MN,2001,37
MO,2001,26
MS,2001,4
MT,2001,26
NC,2001,38
ND,2001,3
NE,2001,11
NH,2001,17
NJ,2001,22
NM,2001,23
NV,2001,16
NY,2001,83
OH,2001,74
OK,2001,6
OR,2001,82
PA,2001,81
RI,2001,7
SC,2001,19
SD,2001,6
TN,2001,23
TX,2001,47
UT,2001,16
VA,2001,29
VT,2001,19
WA,2001,94
WI,2001,82
WV,2001,4
WY,2001,11
Other,2001,NA
Total,2001,1817
AK,2002,19
AL,2002,3
AR,2002,4
AZ,2002,39
CA,2002,270
CO,2002,102
CT,2002,17
DC,2002,5
DE,2002,8
