State,year,number_breweries
FL,2002,83
GA,2002,25
HI,2002,13
IA,2002,15
ID,2002,19
IL,2002,43
IN,2002,23
KS,2002,8
KY,2002,10
LA,2002,7
MA,2002,43
MD,2002,26
ME,2002,38
MI,2002,69
MN,2002,37
MO,2002,28
MS,2002,4
MT,2002,28
NC,2002,38
ND,2002,3
NE,2002,10
NH,2002,17
NJ,2002,20
NM,2002,23
NV,2002,17
NY,2002,84
OH,2002,64
OK,2002,6
OR,2002,81
PA,2002,76
RI,2002,7
SC,2002,19
SD,2002,7
TN,2002,22
TX,2002,42
UT,2002,17
VA,2002,30
VT,2002,25
WA,2002,94
WI,2002,90
WV,2002,5
WY,2002,11
Other,2002,NA
Total,2002,1794
AK,2003,15
AL,2003,3
AR,2003,4
AZ,2003,36
CA,2003,278
CO,2003,99
CT,2003,17
DC,2003,4
DE,2003,9
FL,2003,78
GA,2003,29
HI,2003,13
IA,2003,17
ID,2003,20
IL,2003,43
IN,2003,23
KS,2003,7
KY,2003,10
LA,2003,6
MA,2003,44
MD,2003,27
ME,2003,37
MI,2003,76
MN,2003,31
MO,2003,28
MS,2003,3
MT,2003,24
NC,2003,41
ND,2003,3
NE,2003,12
NH,2003,16
NJ,2003,22
NM,2003,20
NV,2003,16
NY,2003,86
OH,2003,59
OK,2003,6
OR,2003,87
PA,2003,78
RI,2003,6
SC,2003,21
SD,2003,7
TN,2003,22
TX,2003,41
UT,2003,15
VA,2003,30
VT,2003,25
WA,2003,91
WI,2003,90
WV,2003,5
WY,2003,11
Other,2003,NA
Total,2003,1791
AK,2004,13
AL,2004,5
AR,2004,4
AZ,2004,31
CA,2004,282
CO,2004,99
CT,2004,20
DC,2004,5
DE,2004,9
FL,2004,74
GA,2004,29
HI,2004,13
IA,2004,21
ID,2004,19
IL,2004,45
IN,2004,23
KS,2004,10
KY,2004,10
LA,2004,9
MA,2004,46
MD,2004,29
ME,2004,43
MI,2004,78
MN,2004,30
MO,2004,28
MS,2004,3
MT,2004,22
NC,2004,43
ND,2004,4
NE,2004,12
NH,2004,16
NJ,2004,21
NM,2004,22
NV,2004,17
NY,2004,80
OH,2004,55
OK,2004,7
OR,2004,92
PA,2004,86
RI,2004,6
SC,2004,21
SD,2004,6
TN,2004,24
TX,2004,40
UT,2004,16
VA,2004,31
VT,2004,26
WA,2004,93
WI,2004,97
WV,2004,4
WY,2004,13
Other,2004,NA
Total,2004,1832
AK,2005,15
AL,2005,5
AR,2005,4
AZ,2005,31
CA,2005,278
CO,2005,104
CT,2005,19
DC,2005,4
DE,2005,8
FL,2005,69
GA,2005,25
HI,2005,12
IA,2005,18
ID,2005,20
IL,2005,43
IN,2005,27
KS,2005,11
KY,2005,10
LA,2005,10
MA,2005,38
MD,2005,25
ME,2005,43
MI,2005,84
MN,2005,31
MO,2005,33
MS,2005,3
MT,2005,21
NC,2005,45
ND,2005,4
NE,2005,16
NH,2005,14
NJ,2005,21
NM,2005,22
NV,2005,16
NY,2005,82
OH,2005,53
OK,2005,8
OR,2005,88
PA,2005,78
RI,2005,5
SC,2005,19
SD,2005,6
TN,2005,19
TX,2005,45
UT,2005,15
VA,2005,34
VT,2005,24
WA,2005,100
WI,2005,98
WV,2005,4
WY,2005,14
Other,2005,NA
Total,2005,1821
AK,2006,14
AL,2006,4
AR,2006,4
AZ,2006,33
CA,2006,293
CO,2006,102
CT,2006,18
DC,2006,4
DE,2006,9
FL,2006,51
GA,2006,22
HI,2006,12
IA,2006,19
ID,2006,20
IL,2006,45
IN,2006,25
KS,2006,17
KY,2006,10
LA,2006,10
MA,2006,40
MD,2006,26
ME,2006,43
MI,2006,91
MN,2006,35
MO,2006,34
MS,2006,NA
MT,2006,22
NC,2006,46
ND,2006,3
NE,2006,16
NH,2006,14
NJ,2006,21
NM,2006,23
NV,2006,16
NY,2006,82
OH,2006,57
OK,2006,7
OR,2006,95
PA,2006,81
RI,2006,5
SC,2006,16
SD,2006,7
TN,2006,19
TX,2006,47
UT,2006,17
VA,2006,35
VT,2006,24
WA,2006,108
WI,2006,103
WV,2006,6
WY,2006,14
Other,2006,2
Total,2006,NA
AK,2007,15
AL,2007,5
AR,2007,4
AZ,2007,33
CA,2007,310
CO,2007,112
CT,2007,19
DC,2007,3
DE,2007,10
FL,2007,50
GA,2007,23
HI,2007,12
IA,2007,20
ID,2007,20
IL,2007,52
IN,2007,30
KS,2007,18
KY,2007,12
LA,2007,10
MA,2007,43
MD,2007,24
ME,2007,43
MI,2007,94
MN,2007,34
MO,2007,38
MS,2007,NA
MT,2007,26
NC,2007,45
ND,2007,3
NE,2007,17
NH,2007,15
NJ,2007,21
NM,2007,21
NV,2007,16
NY,2007,77
OH,2007,58
OK,2007,6
OR,2007,96
PA,2007,94
RI,2007,5
SC,2007,17
SD,2007,8
TN,2007,22
TX,2007,45
UT,2007,15
VA,2007,35
VT,2007,22
WA,2007,110
WI,2007,105
WV,2007,6
WY,2007,14
Other,2007,2
Total,2007,NA
AK,2008,16
AL,2008,5
AR,2008,4
AZ,2008,33
CA,2008,333
CO,2008,117
CT,2008,21
DC,2008,3
DE,2008,9
FL,2008,61
GA,2008,20
HI,2008,11
IA,2008,21
ID,2008,24
IL,2008,51
IN,2008,30
KS,2008,17
KY,2008,12
LA,2008,10
MA,2008,45
MD,2008,24
ME,2008,43
MI,2008,96
MN,2008,36
MO,2008,38
MS,2008,NA
MT,2008,31
NC,2008,50
ND,2008,3
NE,2008,16
NH,2008,16
NJ,2008,20
NM,2008,20
NV,2008,17
NY,2008,81
OH,2008,66
OK,2008,9
OR,2008,108
PA,2008,97
RI,2008,5
SC,2008,16
SD,2008,7
TN,2008,23
TX,2008,47
UT,2008,15
VA,2008,43
VT,2008,24
WA,2008,121
WI,2008,110
WV,2008,6
WY,2008,14
Other,2008,1
Total,2008,NA
AK,2009,18
AL,2009,5
AR,2009,5
AZ,2009,34
CA,2009,340
CO,2009,116
CT,2009,19
DC,2009,3
DE,2009,11
FL,2009,52
GA,2009,22
HI,2009,11
IA,2009,28
ID,2009,25
IL,2009,60
IN,2009,39
KS,2009,17
KY,2009,15
LA,2009,11
MA,2009,44
MD,2009,26
ME,2009,42
MI,2009,104
MN,2009,39
MO,2009,47
MS,2009,NA
MT,2009,31
NC,2009,52
ND,2009,3
NE,2009,17
NH,2009,17
NJ,2009,22
NM,2009,21
NV,2009,18
NY,2009,84
OH,2009,66
OK,2009,10
OR,2009,108
PA,2009,96
RI,2009,5
SC,2009,15
SD,2009,7
TN,2009,23
TX,2009,47
UT,2009,18
VA,2009,42
VT,2009,27
WA,2009,138
WI,2009,108
WV,2009,8
WY,2009,13
Other,2009,2
Total,2009,NA
AK,2010,20
AL,2010,7
AR,2010,5
AZ,2010,37
CA,2010,358
CO,2010,129
CT,2010,21
DC,2010,4
DE,2010,11
FL,2010,60
GA,2010,26
HI,2010,11
IA,2010,27
ID,2010,25
IL,2010,62
IN,2010,43
KS,2010,17
KY,2010,14
LA,2010,12
MA,2010,48
MD,2010,24
ME,2010,44
MI,2010,111
MN,2010,42
MO,2010,51
MS,2010,3
MT,2010,31
NC,2010,61
ND,2010,3
NE,2010,16
NH,2010,19
NJ,2010,24
NM,2010,26
NV,2010,20
NY,2010,100
OH,2010,75
OK,2010,10
OR,2010,120
PA,2010,118
RI,2010,5
SC,2010,16
SD,2010,8
TN,2010,26
TX,2010,59
UT,2010,18
VA,2010,44
VT,2010,32
WA,2010,157
WI,2010,119
WV,2010,8
WY,2010,16
Other,2010,NA
Total,2010,2343
AK,2011,23
AL,2011,9
AR,2011,7
AZ,2011,45
CA,2011,401
CO,2011,149
CT,2011,20
DC,2011,6
DE,2011,12
FL,2011,71
GA,2011,25
HI,2011,12
IA,2011,35
ID,2011,33
IL,2011,68
IN,2011,59
KS,2011,21
KY,2011,21
LA,2011,12
MA,2011,52
MD,2011,26
ME,2011,49
MI,2011,131
MN,2011,56
MO,2011,55
MS,2011,NA
MT,2011,35
NC,2011,71
ND,2011,3
NE,2011,18
NH,2011,21
NJ,2011,31
NM,2011,30
NV,2011,20
NY,2011,123
OH,2011,81
OK,2011,10
OR,2011,148
PA,2011,146
RI,2011,6
SC,2011,17
SD,2011,9
TN,2011,31
TX,2011,84
UT,2011,18
VA,2011,54
VT,2011,34
WA,2011,188
WI,2011,126
WV,2011,8
WY,2011,15
Other,2011,2
Total,2011,NA
AK,2012,25
AL,2012,15
AR,2012,13
AZ,2012,55
CA,2012,472
CO,2012,185
CT,2012,24
DC,2012,5
DE,2012,13
FL,2012,89
GA,2012,31
HI,2012,15
IA,2012,46
ID,2012,39
IL,2012,95
IN,2012,72
KS,2012,21
KY,2012,25
LA,2012,12
MA,2012,65
MD,2012,40
ME,2012,53
MI,2012,160
MN,2012,70
MO,2012,60
MS,2012,4
MT,2012,41
NC,2012,94
ND,2012,7
NE,2012,20
NH,2012,25
NJ,2012,29
NM,2012,38
NV,2012,23
NY,2012,150
OH,2012,99
OK,2012,13
OR,2012,180
PA,2012,162
RI,2012,9
SC,2012,23
SD,2012,12
TN,2012,45
TX,2012,107
UT,2012,22
VA,2012,67
VT,2012,39
WA,2012,230
WI,2012,146
WV,2012,8
WY,2012,19
Other,2012,NA
Total,2012,3312
AK,2013,25
AL,2013,23
AR,2013,18
AZ,2013,59
CA,2013,528
CO,2013,234
CT,2013,39
DC,2013,11
DE,2013,13
FL,2013,113
GA,2013,37
HI,2013,17
IA,2013,54
ID,2013,42
IL,2013,123
IN,2013,95
KS,2013,25
KY,2013,25
LA,2013,15
MA,2013,82
MD,2013,43
ME,2013,60
MI,2013,195
MN,2013,75
MO,2013,63
MS,2013,7
MT,2013,49
NC,2013,125
ND,2013,8
NE,2013,25
NH,2013,35
NJ,2013,37
NM,2013,48
NV,2013,26
NY,2013,193
OH,2013,114
OK,2013,17
OR,2013,220
PA,2013,183
RI,2013,12
SC,2013,30
SD,2013,12
TN,2013,51
TX,2013,128
UT,2013,24
VA,2013,85
VT,2013,45
WA,2013,266
WI,2013,146
WV,2013,9
WY,2013,25
Other,2013,NA
Total,2013,3934
AK,2014,28
AL,2014,25
AR,2014,23
AZ,2014,77
CA,2014,654
CO,2014,300
CT,2014,50
DC,2014,12
DE,2014,15
FL,2014,158
GA,2014,48
HI,2014,20
IA,2014,60
ID,2014,51
IL,2014,164
IN,2014,116
KS,2014,27
KY,2014,38
LA,2014,17
MA,2014,98
MD,2014,55
ME,2014,71
MI,2014,256
MN,2014,113
MO,2014,77
MS,2014,10
MT,2014,62
NC,2014,155
ND,2014,10
NE,2014,35
NH,2014,46
NJ,2014,49
NM,2014,60
NV,2014,34
NY,2014,255
OH,2014,151
OK,2014,18
OR,2014,244
PA,2014,233
RI,2014,14
SC,2014,37
SD,2014,15
TN,2014,69
TX,2014,170
UT,2014,27
VA,2014,117
VT,2014,51
WA,2014,314
WI,2014,168
WV,2014,13
WY,2014,28
Other,2014,NA
Total,2014,4938
AK,2015,35
AL,2015,30
AR,2015,29
AZ,2015,91
CA,2015,788
CO,2015,352
CT,2015,59
DC,2015,13
DE,2015,21
FL,2015,205
GA,2015,54
HI,2015,26
IA,2015,71
ID,2015,57
IL,2015,210
IN,2015,151
KS,2015,37
KY,2015,48
LA,2015,25
MA,2015,124
MD,2015,73
ME,2015,84
MI,2015,316
MN,2015,142
MO,2015,90
MS,2015,14
MT,2015,74
NC,2015,207
ND,2015,11
NE,2015,39
NH,2015,63
NJ,2015,71
NM,2015,71
NV,2015,39
NY,2015,329
OH,2015,187
OK,2015,21
OR,2015,281
PA,2015,278
RI,2015,15
SC,2015,51
SD,2015,19
TN,2015,88
TX,2015,220
UT,2015,29
VA,2015,155
VT,2015,66
WA,2015,383
WI,2015,189
WV,2015,17
WY,2015,32
Other,2015,NA
Total,2015,6080
AK,2016,36
AL,2016,37
AR,2016,34
AZ,2016,110
CA,2016,927
CO,2016,386
CT,2016,76
DC,2016,13
DE,2016,25
FL,2016,264
GA,2016,69
HI,2016,23
IA,2016,94
ID,2016,67
IL,2016,244
IN,2016,163
KS,2016,47
KY,2016,60
LA,2016,34
MA,2016,146
MD,2016,88
ME,2016,102
MI,2016,379
MN,2016,165
MO,2016,116
MS,2016,14
MT,2016,79
NC,2016,260
ND,2016,15
NE,2016,47
NH,2016,73
NJ,2016,96
NM,2016,86
NV,2016,44
NY,2016,394
OH,2016,236
OK,2016,26
OR,2016,304
PA,2016,333
RI,2016,17
SC,2016,59
SD,2016,21
TN,2016,101
TX,2016,266
UT,2016,34
VA,2016,209
VT,2016,73
WA,2016,424
WI,2016,217
WV,2016,24
WY,2016,33
Other,2016,NA
Total,2016,7190
AK,2017,45
AL,2017,52
AR,2017,44
AZ,2017,130
CA,2017,1106
CO,2017,448
CT,2017,103
DC,2017,13
DE,2017,33
FL,2017,338
GA,2017,102
HI,2017,28
IA,2017,115
ID,2017,76
IL,2017,291
IN,2017,213
KS,2017,53
KY,2017,73
LA,2017,43
MA,2017,189
MD,2017,116
ME,2017,131
MI,2017,452
MN,2017,214
MO,2017,145
MS,2017,16
MT,2017,98
NC,2017,330
ND,2017,22
NE,2017,53
NH,2017,88
NJ,2017,123
NM,2017,110
NV,2017,46
NY,2017,471
OH,2017,324
OK,2017,43
OR,2017,347
PA,2017,411
RI,2017,27
SC,2017,84
SD,2017,28
TN,2017,120
TX,2017,333
UT,2017,39
VA,2017,287
VT,2017,84
WA,2017,499
WI,2017,261
WV,2017,27
WY,2017,39
Other,2017,NA
Total,2017,8863
AK,2018,51
AL,2018,55
AR,2018,53
AZ,2018,146
CA,2018,1236
CO,2018,500
CT,2018,124
DC,2018,13
DE,2018,38
FL,2018,386
GA,2018,121
HI,2018,38
IA,2018,125
ID,2018,87
IL,2018,338
IN,2018,234
KS,2018,64
KY,2018,86
LA,2018,47
MA,2018,230
MD,2018,141
ME,2018,165
MI,2018,510
MN,2018,239
MO,2018,168
MS,2018,19
MT,2018,108
NC,2018,387
ND,2018,26
NE,2018,60
NH,2018,106
NJ,2018,146
NM,2018,124
NV,2018,50
NY,2018,532
OH,2018,377
OK,2018,55
OR,2018,386
PA,2018,472
RI,2018,33
SC,2018,94
SD,2018,35
TN,2018,140
TX,2018,387
UT,2018,46
VA,2018,328
VT,2018,90
WA,2018,540
WI,2018,303
WV,2018,32
WY,2018,44
Other,2018,NA
Total,2018,10115
AK,NA,55
AL,NA,59
AR,NA,54
AZ,NA,146
CA,NA,1272
CO,NA,520
CT,NA,130
DC,NA,13
DE,NA,40
FL,NA,414
GA,NA,133
HI,NA,39
IA,NA,129
ID,NA,93
IL,NA,347
IN,NA,245
KS,NA,70
KY,NA,92
LA,NA,53
MA,NA,239
MD,NA,146
ME,NA,169
MI,NA,534
MN,NA,252
MO,NA,180
MS,NA,20
MT,NA,110
NC,NA,407
ND,NA,28
NE,NA,63
NH,NA,111
NJ,NA,154
NM,NA,135
NV,NA,55
NY,NA,563
OH,NA,390
OK,NA,60
OR,NA,394
PA,NA,510
RI,NA,39
SC,NA,101
SD,NA,38
TN,NA,153
TX,NA,412
UT,NA,48
VA,NA,347
VT,NA,92
WA,NA,569
WI,NA,326
WV,NA,34
WY,NA,46
Other,NA,NA
Total,NA,10629
